algorithm,length,time
insertion_sort,1,0.004
insertion_sort,2,0.003
insertion_sort,4,0.005
insertion_sort,8,0.011
insertion_sort,16,0.031
insertion_sort,32,0.134
insertion_sort,64,0.526
insertion_sort,128,2.152
insertion_sort,256,8.021
insertion_sort,512,31.64
insertion_sort,1024,128.907
insertion_sort,2048,515.489
merge_sort,1,0.004
merge_sort,2,0.011
merge_sort,4,0.011
merge_sort,8,0.022
merge_sort,16,0.05
merge_sort,32,0.108
merge_sort,64,0.25
merge_sort,128,0.526
merge_sort,256,1.216
merge_sort,512,2.519
merge_sort,1024,5.806
merge_sort,2048,11.645
merge_sort,4096,26.509
merge_sort,8192,52.988
merge_sort,16384,122.602
merge_sort,32768,239.013
merge_sort,65536,540.353
